City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Rolleston,-43.5833,172.3833,78.01,46,15,5.75,NZ
Rongotea,-40.3,175.4167,73,66,2,5.99,NZ
Russell,32.3502,-85.1999,55.4,47,1,6.91,US
Sanson,-40.2167,175.4167,73.99,66,0,5.99,NZ
Seddon,-37.8068,144.8916,62.01,67,90,9.22,AU
Sefton,-43.25,172.6667,78.01,46,0,5.75,NZ
Southbridge,42.0751,-72.0334,28.99,95,100,4.16,US
Tairua,-37.0167,175.85,69.49,59,27,8.28,NZ
Takaka,-40.85,172.8,68,82,37,4,NZ
Takapau,-40.0333,176.35,80.01,46,0,7,NZ
Taupo,-38.6833,176.0833,75,53,63,3,NZ
Tauranga,-37.6861,176.1667,75,53,56,3,NZ
Te Anau,-45.4167,167.7167,64.99,61,100,3.31,NZ
Te Horo,-40.8084,175.1233,71.01,72,22,5.99,NZ
Te Karaka,-38.4654,177.8679,79.56,39,15,1.63,NZ
Te Kauwhata,-37.4,175.15,75,75,5,5.01,NZ
Thames,-37.1333,175.5333,75,69,26,4,NZ
Timaru,-44.4,171.25,72,79,6,3,NZ
Tirau,-37.9833,175.75,78.01,53,92,3,NZ
Tokomaru,-40.4667,175.5,73,65,4,5.01,NZ
Tokoroa,-38.2333,175.8667,75,53,89,3,NZ
Tolaga Bay,-38.3667,178.3,66.92,61,24,10.74,NZ
Tuatapere,-46.1333,167.6833,66.24,58,100,6.69,NZ
Turangi,-39,175.9333,69.22,50,80,4.72,NZ
Vaini,-21.2,-175.2,78.8,94,75,14.97,TO
Waharoa,-37.7667,175.7667,78.01,50,79,4,NZ
Waihi,-37.3833,175.8333,78.01,52,26,3,NZ
Waihi Beach,-37.4,175.9333,78.01,52,17,3,NZ
Waikuku,-43.3,172.6833,78.01,46,4,5.75,NZ
Waimana,-38.15,177.0833,67.32,64,88,3.13,NZ
Waiouru,-39.4833,175.6667,70.09,42,0,4.43,NZ
Waipawa,-41.4122,175.5153,71.01,73,75,19.57,NZ
Wairoa,-39.0333,177.3667,70,71,13,4,NZ
Waitakere,-36.9175,174.6577,73,60,75,10.36,NZ
Waitara,-38.925,174.25,63,82,56,7,NZ
Waitati,-45.75,170.5667,61,88,90,1.01,NZ
Waiuku,-37.25,174.75,73,60,75,10.36,NZ
Wakefield,53.6809,-1.499,35.01,69,99,1.99,GB
Wallacetown,-46.3333,168.2667,66.79,54,100,2.91,NZ
Wanaka,-44.7,169.15,66.96,45,89,6.46,NZ
Wanganui,-39.9333,175.05,73.99,58,0,8.01,NZ
Warkworth,-36.4,174.6667,75.99,58,88,3,NZ
Waverley,-25.7023,28.2591,69.01,81,82,1.01,ZA
Wellington,-41.2866,174.7756,70,73,75,19.57,NZ
Wellsford,-36.2833,174.5167,75.99,58,92,3,NZ
Westport,41.1415,-73.3579,32,86,90,6.91,US
Whakatane,-37.9585,176.9854,65.57,72,76,3.51,NZ
Whangamata,-37.2,175.8667,69.62,60,21,7.74,NZ
Whangarei,-35.7317,174.3239,70,76,80,7,NZ
Whitianga,-36.8333,175.7,72,69,46,4,NZ
Winton,37.3894,-120.6133,68,45,1,4.05,US
Woodend,-43.3167,172.6667,78.01,46,5,5.75,NZ
Wyndham,37.6985,-77.6125,42.01,81,75,5.61,US
Badalona,41.45,2.2474,52,93,20,5.75,ES
Barcelona,41.3888,2.159,52,66,20,12.66,ES
el Prat de Llobregat,41.3278,2.0947,52,66,20,12.66,ES
Ripollet,41.4969,2.1574,52,93,20,5.75,ES
Sant Cugat del Vallès,41.4667,2.0833,52,93,20,5.75,ES
Sant Just Desvern,41.386,2.0757,52,66,20,12.66,ES
